Timestamp,Temperature (°C),RH (%),Pressure (mbar),Heat Index (°C),Refractivity
2026-09-01 00:00:00,24.707413,70.771741,970.099624,23.495936,346.0705
2026-09-01 01:00:00,24.449293,71.991273,969.343185,23.259301,346.6209
2026-09-01 02:00:00,24.210417,73.502626,968.949463,22.940393,348.1796
2026-09-01 03:00:00,24.401874,74.874234,969.158344,23.171106,350.5689
2026-09-01 04:00:00,24.237009,74.267074,969.510289,23.164964,349.3775
2026-09-01 05:00:00,24.029233,74.118768,970.075745,22.74643,349.785
2026-09-01 06:00:00,24.154912,73.831917,970.526118,22.747001,350.6281
2026-09-01 07:00:00,24.647275,69.520525,971.114795,23.33741,345.9192
2026-09-01 08:00:00,25.595685,69.1575,971.792772,24.296746,348.3018
2026-09-01 09:00:00,26.277507,64.764636,971.718622,25.030172,343.8497
2026-09-01 10:00:00,27.080325,57.002109,970.977891,26.161077,333.8168
2026-09-01 11:00:00,28.09888,53.322216,970.275669,26.819623,331.5338
2026-09-01 12:00:00,28.925149,47.121092,969.150772,27.156796,325.0595
2026-09-01 13:00:00,30.303378,41.707615,968.273112,28.242852,320.3419
2026-09-01 14:00:00,30.817592,45.74339,968.136528,28.720987,327.6807
2026-09-01 15:00:00,29.422877,46.580774,967.719689,27.880798,325.1251
2026-09-01 16:00:00,28.773703,49.766859,967.641062,27.207817,328.4632
2026-09-01 17:00:00,27.906887,55.714137,968.3945,26.526403,335.1708
2026-09-01 18:00:00,27.196635,62.921389,969.11654,25.911451,344.025
2026-09-01 19:00:00,26.624783,69.327201,970.09423,25.083106,352.5238
2026-09-01 20:00:00,26.283601,71.998102,970.778455,24.819582,355.0386
2026-09-01 21:00:00,25.604899,69.84602,970.925783,23.938245,349.9819
2026-09-01 22:00:00,25.184776,70.63538,970.849908,23.453257,349.5296
2026-09-01 23:00:00,25.049697,72.205043,970.383701,23.076122,351.0883
